RUNCODE_x_x_x,ENDPERIOD,STRPERIOD_x_x_x,SEQUENCE_x_x_x,TYPE_x_x_x,RPTSEQ_x_x_x,PLANT_x_x_x,fd ingred cost/lb meat actual,feed efficiency adj to @bw lb,feed efficiency actual cal/lb,feed efficiency adj conv,feed efficiency actual conv,bird density sq ft place,bird density sq ft kill,age,RUNCODE_y_x_x,STRPERIOD_y_x_x,SEQUENCE_y_x_x,TYPE_y_x_x,RPTSEQ_y_x_x,PLANT_y_x_x,prestart & start feed lbs fed,starter $/ton,grower feeds lbs fed,grower feeds cost $/ton,first withdraw feeds lbs fed,first withdraw feeds cost $/ton,final withdraw feeds lbs fed,final withdraw feeds cost $/ton,total lbs fed/bird,RUNCODE_x_y_x,STRPERIOD_x_y_x,SEQUENCE_x_y_x,TYPE_x_y_x,RPTSEQ_x_y_x,PLANT_x_y_x,avg cal level,% protein per 1500,% lysine per 1500,% TSAA per 1500,% a.phos per 1500,% calcium per 1500,% animal protein,% added fat,RUNCODE_y_y_x,STRPERIOD_y_y_x,SEQUENCE_y_y_x,TYPE_y_y_x,RPTSEQ_y_y_x,PLANT_y_y_x,field condem w/b & field parts %,w/b disease condemn % total wb%,parts condemned 50% field,RUNCODE_x_x_y,STRPERIOD_x_x_y,SEQUENCE_x_x_y,TYPE_x_x_y,RPTSEQ_x_x_y,PLANT_x_x_y,live production cost,chick cost,house cost,feed ingr cost, vaccine medicat cost,doa cost actual,% livability,calorie conver,RUNCODE_y_x_y,STRPERIOD_y_x_y,SEQUENCE_y_x_y,TYPE_y_x_y,RPTSEQ_y_x_y,PLANT_y_x_y,doa @ $.46 %doa,days to @bw lb,down time,RUNCODE_x_y_y,STRPERIOD_x_y_y,SEQUENCE_x_y_y,TYPE_x_y_y,RPTSEQ_x_y_y,PLANT_x_y_y,loss 0-7 days %,loss 8-14 days %,loss 15-21 days %,loss 22-28 days %,loss 29-35 days %,loss 36-42 days %,loss 43-49 days %,loss 50-56 days %,loss after 56 days %,RUNCODE_y_y_y,STRPERIOD_y_y_y,SEQUENCE_y_y_y,TYPE_y_y_y,RPTSEQ_y_y_y,PLANT_y_y_y,act feed cost/lb meat indred cost,actual feed efficiency actual calorie,actual feed efficiency actual conv,calorie level,actual feed cost/ton,% mort
AUDIT,23 3,23 3,1.0,D,30.0,PART,23.01387,2501.85151,2248.06593,1.76433,1.58536,0.71141,0.73898,32.55,AUDIT,23 3,1.0,D,64.0,PART,1.0024,315.13,2.45853,301.75,,,2.92669,293.42,6.38762,AUDIT,23 3,1.0,D,30.0,PART,1418.01631,19.72978,1.17321,0.90109,0.42005,0.92639,0.76168,0.5,AUDIT,23 3,1.0,D,71.0,PART,0.35329,0.13905,0.21424,AUDIT,23 3,1.0,D,1.0,PART,46.42684,10.71508,8.62898,23.01387,0.00927,0.02178,96.26931,2248.06593,AUDIT,23 3,1.0,D,42.0,PART,0.04711,45.02192,19,AUDIT,23 3,1.0,D,5.0,PART,2.01264,0.55159,0.44666,0.39761,0.32219,,,,,AUDIT,23 3,1.0,D,1.0,PART,23.01387,2248.06593,1.58536,1418.01631,290.32999,3.73069
AUDIT,23 3,23 3,1.0,D,85.0,PART,29.92903,2600.49589,2279.02496,1.82653,1.60074,0.64838,0.67944,33.15,AUDIT,23 3,1.0,D,92.0,PART,1.29712,398.21,2.51874,370.81,,,1.88541,355.09,5.70127,AUDIT,23 3,1.0,D,85.0,PART,1423.7362,20.61675,1.24045,0.90738,0.41365,0.83028,3.05364,0.96094,AUDIT,23 3,1.0,D,74.0,PART,0.2886,0.2118,0.0768,AUDIT,23 3,1.0,D,95.0,PART,57.02028,13.17012,8.09501,29.92903,,0.07977,95.42773,2279.02496,AUDIT,23 3,1.0,D,88.0,PART,0.1405,49.78973,17,AUDIT,23 3,1.0,D,5.0,PART,2.01264,0.55159,0.44666,0.39761,0.32219,,,,,AUDIT,23 3,1.0,D,19.0,PART,29.92903,2279.02496,1.60074,1423.7362,373.94098,4.57227
AUDIT,23 3,23 3,1.0,D,64.0,PART,29.45468,2503.87992,2198.88048,1.77314,1.55715,0.7,0.73512,33.3,AUDIT,23 3,1.0,D,97.0,PART,1.27531,397.5093,2.58885,370.7946,,,1.7204,363.7525,5.58457,AUDIT,23 3,1.0,D,64.0,PART,1412.11536,21.47022,1.30817,0.95538,0.45937,0.86425,3.06248,0.78015,AUDIT,23 3,1.0,D,64.0,PART,0.26361,0.1704,0.09321,AUDIT,23 3,1.0,D,93.0,PART,56.69418,13.66995,8.12556,29.45432,0.03355,0.05522,95.22257,2198.88048,AUDIT,23 3,1.0,D,48.0,PART,0.09774,49.67174,17.7,AUDIT,23 3,1.0,D,19.0,PART,2.32272,0.78972,0.64102,0.59795,0.42602,,,,,AUDIT,23 3,1.0,D,13.0,PART,29.45468,2198.88048,1.55715,1412.11536,378.31435,4.77743
AUDIT,23 3,23 3,1.0,D,26.0,PART,27.85417,2374.37113,2110.8267,1.68244,1.4957,0.7011,0.74706,33.7,AUDIT,23 3,1.0,D,105.0,PART,1.30322,393.13,3.03291,374.15,,,1.36158,370.5,5.69771,AUDIT,23 3,1.0,D,26.0,PART,1411.26303,21.74191,1.33299,0.98104,0.49356,0.89847,3.15292,1.00663,AUDIT,23 3,1.0,D,43.0,PART,0.18005,0.08101,0.09904,AUDIT,23 3,1.0,D,75.0,PART,55.21319,14.32104,7.88448,27.85417,0.00582,0.04625,93.8484,2110.8267,AUDIT,23 3,1.0,D,12.0,PART,0.08398,48.27153,18,AUDIT,23 3,1.0,D,44.0,PART,3.79338,0.82438,0.56576,0.43366,0.53442,,,,,AUDIT,23 3,1.0,D,2.0,PART,27.85417,2110.8267,1.4957,1411.26303,372.45648,6.1516
AUDIT,23 3,23 3,1.0,D,36.0,PART,30.17549,2455.07603,2238.00359,1.74104,1.5871,0.73,0.77734,34.74,AUDIT,23 3,1.0,D,77.0,PART,1.32327,409.31,2.79532,388.32,,,2.67842,370.37,6.79701,AUDIT,23 3,1.0,D,36.0,PART,1410.1214,20.22709,1.30397,0.95939,0.42524,0.81816,,0.86275,AUDIT,23 3,1.0,D,106.0,PART,1.05153,1.02772,0.02381,AUDIT,23 3,1.0,D,67.0,PART,54.50969,11.10004,8.26711,30.17549,0.1108,0.13129,93.91013,2238.00359,AUDIT,23 3,1.0,D,50.0,PART,0.24398,45.88187,29.03,AUDIT,23 3,1.0,D,44.0,PART,3.79338,0.82438,0.56576,0.43366,0.53442,,,,,AUDIT,23 3,1.0,D,21.0,PART,30.17549,2238.00359,1.5871,1410.1214,380.25953,6.08987
AUDIT,23 3,23 3,1.0,D,98.0,PART,30.65433,2610.79159,2366.05741,1.8274,1.6561,0.75708,0.79517,34.91,AUDIT,23 3,1.0,D,61.0,PART,0.5044,386.63,3.56739,381.50462,,,2.88308,354.55,6.95487,AUDIT,23 3,1.0,D,98.0,PART,1428.68895,20.38443,1.17437,0.962,0.46537,0.94603,5.77572,1.3475,AUDIT,23 3,1.0,D,85.0,PART,0.37606,0.34339,0.03267,AUDIT,23 3,1.0,D,70.0,PART,54.73652,11.50633,7.64075,30.65433,0.38961,0.11454,95.20974,2366.05741,AUDIT,23 3,1.0,D,93.0,PART,0.21048,46.97431,16,AUDIT,23 3,1.0,D,22.0,PART,2.53227,0.8953,0.70963,0.60882,0.04424,,,,,AUDIT,23 3,1.0,D,25.0,PART,30.65433,2366.05741,1.6561,1428.68895,370.19814,4.79026
AUDIT,23 3,23 3,1.0,D,96.0,PART,29.78364,2666.5717,2347.21832,1.87455,1.65005,0.69451,0.72785,35,AUDIT,23 3,1.0,D,79.0,PART,1.04951,374.03,2.64693,365.87,,,2.26628,348.75,5.96272,AUDIT,23 3,1.0,D,96.0,PART,1422.51654,20.73327,1.26316,0.97027,0.49315,0.96543,1.57562,0.50001,AUDIT,23 3,1.0,D,93.0,PART,0.5517,0.36979,0.18191,AUDIT,23 3,1.0,D,91.0,PART,56.48203,13.45998,7.07151,29.78364,,0.04719,95.41983,2347.21832,AUDIT,23 3,1.0,D,98.0,PART,0.08409,51.80568,16,AUDIT,23 3,1.0,D,18.0,PART,1.73923,0.60346,0.51574,0.59907,1.12268,,,,,AUDIT,23 3,1.0,D,16.0,PART,29.78364,2347.21832,1.65005,1422.51654,361.00372,4.58018
AUDIT,23 3,23 3,1.0,D,61.0,PART,30.20487,2433.56422,2199.50854,1.71785,1.55263,0.69866,0.73405,35.3,AUDIT,23 3,1.0,D,18.0,PART,1.0268,393.01,1.24053,378.02,,,3.68007,360.08,5.9474,AUDIT,23 3,1.0,D,61.0,PART,1416.63552,21.4286,1.26888,0.96196,0.46923,0.92274,2.30531,1.43963,AUDIT,23 3,1.0,D,47.0,PART,0.19922,0.16024,0.03898,AUDIT,23 3,1.0,D,53.0,PART,53.39788,12.38112,7.51962,28.9022,,0.0863,94.87905,2327.93839,AUDIT,23 3,1.0,D,18.0,PART,0.09157,47.90869,19.3,AUDIT,23 3,1.0,D,23.0,PART,2.39091,0.60023,0.49019,0.63024,0.71027,,,,,AUDIT,23 3,1.0,D,9.0,PART,28.9022,2327.93839,1.6166,1440.01772,357.56684,5.12095
AUDIT,23 3,23 3,1.0,D,103.0,PART,29.32317,2541.62719,2245.18084,1.77598,1.56883,0.7,0.75311,35.4,AUDIT,23 3,1.0,D,87.0,PART,1.21579,390.49,2.39895,379.39,,,2.08997,352.72,5.7047,AUDIT,23 3,1.0,D,103.0,PART,1431.11424,21.20037,1.34072,1.02543,0.4242,0.90119,3.50143,2.4742,AUDIT,23 3,1.0,D,36.0,PART,0.13591,0.06348,0.07244,AUDIT,23 3,1.0,D,98.0,PART,58.28539,14.38385,7.54337,29.32317,0.2542,0.7767,92.94776,2245.18084,AUDIT,23 3,1.0,D,91.0,PART,1.35241,51.78404,16.2,AUDIT,23 3,1.0,D,60.0,PART,2.4739,0.90492,0.8155,0.69674,2.16119,,,,,AUDIT,23 3,1.0,D,12.0,PART,29.32317,2245.18084,1.56883,1431.11424,373.82116,7.05224
AUDIT,23 3,23 3,1.0,D,84.0,PART,28.44069,2510.96742,2224.52078,1.78689,1.58304,0.68586,0.73178,35.95,AUDIT,23 3,1.0,D,32.0,PART,1.11116,365.31,1.42856,364.79,,,3.31916,359.03,5.85888,AUDIT,23 3,1.0,D,84.0,PART,1405.21822,21.49683,1.35461,1.04642,0.43278,0.84425,2.54351,0.84557,AUDIT,23 3,1.0,D,89.0,PART,0.49342,0.38588,0.10755,AUDIT,23 3,1.0,D,38.0,PART,52.55354,11.39332,8.18027,28.44069,,0.18445,93.72558,2224.52078,AUDIT,23 3,1.0,D,68.0,PART,0.35396,52.08623,15,AUDIT,23 3,1.0,D,48.0,PART,2.42216,0.72984,0.52225,0.77858,1.21263,0.60896,,,,AUDIT,23 3,1.0,D,6.0,PART,28.44069,2224.52078,1.58304,1405.21822,359.31674,6.27442
AUDIT,23 3,23 3,1.0,D,83.0,PART,31.60759,2494.11774,2281.03601,1.75606,1.60604,0.75253,0.78333,36.18,AUDIT,23 3,1.0,D,66.0,PART,1.26245,409.77,2.49735,403.57,,,3.26081,386.41,7.02061,AUDIT,23 3,1.0,D,83.0,PART,1420.28986,21.64913,1.27696,0.9954,0.47494,0.95775,6.05172,1.33628,AUDIT,23 3,1.0,D,18.0,PART,0.07149,0.05162,0.01987,AUDIT,23 3,1.0,D,47.0,PART,53.09078,9.99779,7.42363,31.60759,0.33817,0.31368,96.06753,2281.03601,AUDIT,23 3,1.0,D,47.0,PART,0.59476,47.2902,19,AUDIT,23 3,1.0,D,9.0,PART,1.71791,0.43858,0.34764,0.66094,0.49652,0.27088,,,,AUDIT,23 3,1.0,D,33.0,PART,31.60759,2281.03601,1.60604,1420.28986,393.61012,3.93247
AUDIT,23 3,23 3,1.0,D,107.0,PART,32.20841,2834.0129,2511.14737,1.91882,1.70022,0.6675,0.75102,36.4,AUDIT,23 3,1.0,D,107.0,PART,1.5951,398.85341,3.32582,392.63,,,1.20928,379.1,6.1302,AUDIT,23 3,1.0,D,107.0,PART,1476.95492,19.56265,1.26318,0.93138,0.41632,0.72074,3.16156,3.5,AUDIT,23 3,1.0,D,80.0,PART,0.3192,0.12578,0.19342,AUDIT,23 3,1.0,D,101.0,PART,59.25341,14.47159,7.96064,32.20841,0.01747,0.25756,88.87962,2511.14737,AUDIT,23 3,1.0,D,105.0,PART,0.43796,52.70811,18,AUDIT,23 3,1.0,D,86.0,PART,0.53195,0.7614,6.38907,0.55135,2.8866,,,,,AUDIT,23 3,1.0,D,41.0,PART,32.20841,2511.14737,1.70022,1476.95492,378.87358,11.12038
AUDIT,23 3,23 3,1.0,D,81.0,PART,31.22825,2568.60725,2342.75354,1.80456,1.64589,0.7256,0.76204,36.46,AUDIT,23 3,1.0,D,73.0,PART,1.183,393.57,3.09964,390.05,,,2.82195,378.01,7.1046,AUDIT,23 3,1.0,D,81.0,PART,1423.40081,20.38934,1.17604,0.95683,0.47286,0.95409,5.77785,1.34174,AUDIT,23 3,1.0,D,49.0,PART,0.20981,0.18245,0.02736,AUDIT,23 3,1.0,D,65.0,PART,54.04725,10.58996,7.78226,31.22825,0.27754,0.11988,95.21742,2342.75354,AUDIT,23 3,1.0,D,78.0,PART,0.22276,48.07056,16,AUDIT,23 3,1.0,D,21.0,PART,2.35776,0.70816,0.57165,0.39865,0.62025,0.12612,,,,AUDIT,23 3,1.0,D,30.0,PART,31.22825,2342.75354,1.64589,1423.40081,379.47075,4.78258
AUDIT,23 3,23 3,1.0,D,59.0,PART,30.02965,2473.34019,2262.66183,1.76486,1.61453,0.7,0.75665,37,AUDIT,23 3,1.0,D,42.0,PART,1.30028,405.86,2.30245,389.25,,,3.99373,379.55,7.59645,AUDIT,23 3,1.0,D,59.0,PART,1401.43374,21.38792,1.34521,0.9896,0.42632,0.84905,,0.7844,AUDIT,23 3,1.0,D,41.0,PART,0.1608,0.01001,0.1508,AUDIT,23 3,1.0,D,78.0,PART,55.5637,11.39826,7.54088,31.10921,0.03,0.10092,95.16083,2321.2689,AUDIT,23 3,1.0,D,40.0,PART,0.07183,48.32005,22.91,AUDIT,23 3,1.0,D,7.0,PART,2.03652,0.46357,0.38346,0.34866,0.43488,0.18487,,,,AUDIT,23 3,1.0,D,20.0,PART,30.02965,2262.66183,1.61453,1401.43374,371.99169,7.48649
AUDIT,23 3,23 3,1.0,D,73.0,PART,30.7948,2498.50607,2317.85488,1.77838,1.6498,0.69692,0.73638,37.09,AUDIT,23 3,1.0,D,95.0,PART,2.04573,402.9784,2.47235,382.149,,,2.49293,349.0457,7.01101,AUDIT,23 3,1.0,D,73.0,PART,1404.93132,21.23347,1.28117,0.97725,0.45378,0.85359,2.44618,0.92241,AUDIT,23 3,1.0,D,34.0,PART,0.13503,0.0078,0.12723,AUDIT,23 3,1.0,D,69.0,PART,54.6722,11.03033,8.53382,30.7948,0.06658,0.05706,94.64047,2317.85488,AUDIT,23 3,1.0,D,43.0,PART,0.10461,47.73786,24,AUDIT,23 3,1.0,D,28.0,PART,2.74381,0.50065,0.41989,0.37299,0.53018,0.79201,,,,AUDIT,23 3,1.0,D,26.0,PART,30.7948,2317.85488,1.6498,1404.93132,373.31564,5.35953
AUDIT,23 3,23 3,1.0,D,87.0,PART,29.68488,2566.65627,2309.03498,1.83385,1.64978,0.67217,0.70105,37.5,AUDIT,23 3,1.0,D,8.0,PART,1.01444,381.28,1.08538,380.08,,,4.55015,349.68,6.64996,AUDIT,23 3,1.0,D,87.0,PART,1399.60143,21.43086,1.26486,1.04166,0.54283,0.94834,1.63178,0.5,AUDIT,23 3,1.0,D,68.0,PART,0.29307,0.08633,0.20673,AUDIT,23 3,1.0,D,56.0,PART,53.45343,11.10744,7.86611,29.68488,,0.24698,95.88056,2309.03498,AUDIT,23 3,1.0,D,83.0,PART,0.46554,51.67012,21,AUDIT,23 3,1.0,D,28.0,PART,2.74381,0.50065,0.41989,0.37299,0.53018,0.79201,,,,AUDIT,23 3,1.0,D,14.0,PART,29.68488,2309.03498,1.64978,1399.60143,359.86464,4.11944
AUDIT,23 3,23 3,1.0,D,106.0,PART,32.2661,2829.11973,2568.82997,1.97154,1.79015,0.65952,0.80785,37.64,AUDIT,23 3,1.0,D,80.0,PART,1.32371,373.03,2.59817,359.87,,,2.55361,349.26,6.47549,AUDIT,23 3,1.0,D,106.0,PART,1434.982,19.93109,1.20389,0.90576,0.4631,0.96022,2.94521,0.49999,AUDIT,23 3,1.0,D,107.0,PART,1.83085,1.62199,0.20887,AUDIT,23 3,1.0,D,102.0,PART,61.08669,14.68933,7.6495,32.2661,,0.06235,81.63995,2568.82997,AUDIT,23 3,1.0,D,107.0,PART,0.10404,50.34327,12,AUDIT,23 3,1.0,D,88.0,PART,1.39835,0.52467,0.34547,0.27986,0.29177,15.51993,,,,AUDIT,23 3,1.0,D,42.0,PART,32.2661,2568.82997,1.79015,1434.982,360.48532,18.36005
AUDIT,23 3,23 3,1.0,D,102.0,PART,31.17636,2659.45951,2372.9761,1.90131,1.6965,0.65651,0.69962,37.8,AUDIT,23 3,1.0,D,12.0,PART,1.00771,379.408,1.12466,383.128,,,4.41373,355.456,6.54611,AUDIT,23 3,1.0,D,102.0,PART,1398.75253,21.42341,1.32977,1.05644,0.51318,0.98376,2.14143,0.38041,AUDIT,23 3,1.0,D,101.0,PART,0.69015,0.09452,0.59563,AUDIT,23 3,1.0,D,86.0,PART,55.94037,11.92203,7.65612,31.17636,,0.13995,93.8381,2372.9761,AUDIT,23 3,1.0,D,101.0,PART,0.25254,53.49524,20,AUDIT,23 3,1.0,D,45.0,PART,1.94037,1.27803,1.17615,1.0813,0.20946,0.4766,,,,AUDIT,23 3,1.0,D,28.0,PART,31.17636,2372.9761,1.6965,1398.75253,367.53856,6.1619
AUDIT,23 3,23 3,1.0,D,50.0,PART,29.85283,2431.37505,2224.66923,1.73768,1.58995,0.7,0.73749,38,AUDIT,23 3,1.0,D,83.0,PART,1.64,400.88,2.18541,385.14,1.19389,368.26,2.51195,357.57,7.53125,AUDIT,23 3,1.0,D,50.0,PART,1399.20614,21.53717,1.35633,0.99677,0.43127,0.85847,,0.77251,AUDIT,23 3,1.0,D,61.0,PART,0.27215,0.16051,0.11164,AUDIT,23 3,1.0,D,32.0,PART,52.13013,7.49265,8.13402,31.18256,0.14392,0.07548,94.36479,2367.27976,AUDIT,23 3,1.0,D,25.0,PART,0.14826,51.01994,26.21,AUDIT,23 3,1.0,D,45.0,PART,1.94037,1.27803,1.17615,1.0813,0.20946,0.4766,,,,AUDIT,23 3,1.0,D,18.0,PART,29.85283,2224.66923,1.58995,1399.20614,375.51879,5.08402
AUDIT,23 3,23 3,1.0,D,79.0,PART,29.85155,2508.58183,2329.41485,1.765,1.63894,0.71987,0.77121,38.07,AUDIT,23 3,1.0,D,49.0,PART,1.19924,388.9,2.68794,378.17,,,3.75666,345.81,7.64384,AUDIT,23 3,1.0,D,79.0,PART,1421.29155,19.6576,1.22293,0.94192,0.42228,0.82654,2.1547,1.51784,AUDIT,23 3,1.0,D,66.0,PART,0.28216,0.14486,0.13731,AUDIT,23 3,1.0,D,61.0,PART,53.77948,10.96695,8.26462,29.85155,0.01,0.18525,93.34301,2329.41485,AUDIT,23 3,1.0,D,66.0,PART,0.34663,47.45044,17,AUDIT,23 3,1.0,D,54.0,PART,2.78418,0.96167,0.85022,0.67793,0.81612,0.56688,,,,AUDIT,23 3,1.0,D,17.0,PART,29.85155,2329.41485,1.63894,1421.29155,364.27828,6.65699
AUDIT,23 3,23 3,1.0,D,43.0,PART,29.2641,2420.92011,2228.86409,1.72069,1.58418,0.7,0.75119,38.3,AUDIT,23 3,1.0,D,58.0,PART,1.21203,390.49,2.37937,379.39,,,3.48058,352.72,7.07198,AUDIT,23 3,1.0,D,42.0,PART,1406.95148,20.20653,1.23331,0.96597,0.49565,0.91775,3.36179,2.40292,AUDIT,23 3,1.0,D,26.0,PART,0.10316,0.04527,0.05789,AUDIT,23 3,1.0,D,79.0,PART,55.63348,11.73878,7.93632,29.2641,0.2506,0.15157,93.18584,2228.86409,AUDIT,23 3,1.0,D,21.0,PART,0.27346,49.02268,16.1,AUDIT,23 3,1.0,D,55.0,PART,2.73527,0.82477,0.84207,0.67347,0.68705,1.05153,,,,AUDIT,23 3,1.0,D,11.0,PART,29.2641,2228.86409,1.58418,1406.95148,369.45422,6.81416
AUDIT,23 3,23 3,1.0,D,99.0,PART,35.00151,2533.42466,2304.85266,1.79975,1.63738,0.72695,0.77439,38.99,AUDIT,23 3,1.0,D,106.0,PART,1.34939,447.94,1.72691,431.31,3.85144,418.22,,,6.92773,AUDIT,23 3,1.0,D,99.0,PART,1407.65062,20.65256,1.26838,1.00782,0.52804,0.94339,3.40726,2.71325,AUDIT,23 3,1.0,D,104.0,PART,0.77009,0.30179,0.4683,AUDIT,23 3,1.0,D,106.0,PART,65.8293,12.56087,13.51386,35.00151,0.11476,0.15567,93.87341,2304.85266,AUDIT,23 3,1.0,D,79.0,PART,0.23887,51.82478,20.25,AUDIT,23 3,1.0,D,42.0,PART,2.56943,0.71576,0.58028,0.70731,0.70083,0.85298,,,,AUDIT,23 3,1.0,D,83.0,PART,35.00151,2304.85266,1.63738,1407.65062,427.53184,6.12659
